District,Taluka,Region,Equipment,Rs/hr,Rs/day,images
Osmanabad,Vashi,Marathwada,sprayer,69,210,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Pen,Konkan,plough,144,675,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Pune,Shirur,WM,tractor trolley,325,2620,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Sambhajinagar,Kannad,Marathwada,sprayer,46,145,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Dhule,Shirpur,Khandesh,tractor trolley,188,1494,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Jalgaon,Pachora,Khandesh,tractor trolley,150,1550,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Osmanabad,Tuljapur,Marathwada,pickaxe,41,153,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Beed,Ashti,Marathwada,tractor,380,2800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Kolhapur,Panhala,WM,plough,198,942,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Gondia,Salekasa,Vidharbha,hoe,29,232,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Beed,Shirur,Marathwada,tractor,360,2650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Raigad,Mahad,Konkan,pickaxe,22,78,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Wardha,Arvi,Vidharbha,pickaxe,26,180,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Parbhani,Gangakhed,Marathwada,sprayer,67,200,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Mangaon,Konkan,sickel,11.6,42,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Ahmednagar,Kopargaon,Khandesh,tractor trolley,325,2610,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Osmanabad,Vashi,Marathwada,sickel,30,105,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Palghar,Wada,Khandesh,pickaxe,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Gadchiroli,Dhanora,Vidharbha,tractor trolley,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Akola,Patur,Vidharbha,Hoe,34,270,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Buldhana,Chikhli,Vidharbha,hoe,52,400,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Beed,Shirur,Marathwada,hoe,37,205,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sambhajinagar,Gangapur,Marathwada,sprayer,49,153,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Buldhana,Shegaon,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Pune,Shirur,WM,sprayer,75,220,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Pune,Shirur,WM,pickaxe,45,160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Ratnagiri,Khed,Konkan,tractor trolley,210,1580,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Gondia,Amgaon,Vidharbha,plough,108,864,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Raigad,Khalapur,Konkan,tractor,408,3050,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nandurbar,Nandurbar,Khandesh,tractor,180,880,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nashik,Sinnar,Marathwada,tractor,354,2635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Sangli,Atpadi,WM,sprayer,66.95,205.15,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Hingoli,Aundha,Marathwada,tractor,470,3500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Wardha,Hinganghat,Vidharbha,tractor trolley,185,1300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Parbhani,Purna,Marathwada,pickaxe,43,145,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sangli,Tasgaon,WM,tractor trolley,290.23,2219.85,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Sambhajinagar,Paithan,Marathwada,hoe,34,191,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Pune,Haveli,WM,sprayer,73,217,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nanded,Dharmabad,Marathwada,sickel,18,65,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Hingoli,Aundha,Marathwada,hoe,54,256,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Yavatmal,Yavatmal,Vidharbha,hoe,26,208,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nagpur,Narkhed,Vidharbha,tractor,330,2640,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Solapur,Barshi,WM,tractor trolley,294,2215,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Chandrapur,Chandrapur,Vidharbha,tractor,242,1936,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Ahmednagar,Sangamner,Khandesh,hoe,56,260,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Bhandara,Tumsa,Vidharbha,pickaxe,23,184,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalgaon,Chalisgaon,Khandesh,sickel,15,65,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Amravati,Morshi,Vidharbha,Sprayer,45,365,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nashik,Igatpuri,Marathwada,plough,135,630,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Gondia,Tirora,Vidharbha,pickaxe,19,152,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Bhandara,Pauni,Vidharbha,hoe,30,240,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Bhandara,Mohadi,Vidharbha,sprayer,38,304,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Devgad,Konkan,tractor trolley,190,1410,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Latur,Chakur,Marathwada,hoe,34,185,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Satara,Jaoli,WM,pickaxe,37.13,133.58,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Amravati,Morshi,Vidharbha,Pickaxe,28,224,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sangli,Atpadi,WM,plough,187.7,889.5,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Pune,Ambegoan,WM,hoe,55,259,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Buldhana,Lonar,Vidharbha,tractor trolley,185,1450,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nandurbar,Nawapur,Khandesh,tractor trolley,95,720,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Palghar,Talasari,Khandesh,hoe,,,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Solapur,Mangalvedha,WM,pickaxe,34.5,126,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Pune,Maval,WM,hoe,53,255,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Gondia,Gondia,Vidharbha,sprayer,40,320,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Wardha,Karanja,Vidharbha,hoe,52,360,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalna,Jafrabad,Marathwada,sprayer,41,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Latur,Udgir,Marathwada,plough,120,550,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Dhule,Dhule,Khandesh,plough,115,606,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Buldhana,Shegaon,Vidharbha,plough,125,900,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Palghar,Dahanu,Khandesh,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Sangli,Shirala,WM,sprayer,66.54,204.65,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Gondia,Gondia,Vidharbha,tractor,260,2080,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Solapur,Mangalvedha,WM,hoe,46,240,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Raigad,Mahad,Konkan,sickel,16,59,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Sangli,Jat,WM,sprayer,66.65,204.8,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Wardha,Samudrapur,Vidharbha,hoe,52,360,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Pune,Maval,WM,tractor,475,3500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nashik,Trimbak,Marathwada,plough,135,630,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sindhudurg,Sawantwadi,Konkan,sickel,18,66,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Yavatmal,Yavatmal,Vidharbha,pickaxe,20,160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Satara,Wai,WM,plough,187.04,887.56,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Latur,Renapur,Marathwada,tractor,360,2600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gadchiroli,Mulchera,Vidharbha,tractor trolley,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Buldhana,Lonar,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Ahmednagar,Kopargaon,Khandesh,sprayer,73,217,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Ahmednagar,Parner,Khandesh,hoe,54,257,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Solapur,Akkalkot,WM,sickel,26.8,95,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Jalna,Jafrabad,Marathwada,hoe,30,170,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Gadchiroli,Mulchera,Vidharbha,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gondia,Amgaon,Vidharbha,tractor trolley,145,1160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nandurbar,Taloda,Khandesh,sprayer,28,105,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nandurbar,Nandurbar,Khandesh,sickel,11,50,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nashik,Trimbak,Marathwada,tractor trolley,219,1625,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Jalna,Partur,Marathwada,hoe,27,155,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Bhandara,Tumsa,Vidharbha,hoe,30,240,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Parbhani,Sonpeth,Marathwada,sickel,27,90,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Hingoli,kalamnuri,Marathwada,pickaxe,40,150,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Pune,Bhor,WM,plough,202,1055,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Latur,Ausa,Marathwada,plough,125,590,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Kolhapur,Radhanagari,WM,sprayer,69.5,210,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Beed,Ambejogai,Marathwada,plough,120,570,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Gondia,Tirora,Vidharbha,sprayer,37,296,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Malvan,Konkan,hoe,31,169,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Parbhani,Sonpeth,Marathwada,sprayer,66,195,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Jalgaon,Amalner,Khandesh,sprayer,38,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Solapur,Mangalvedha,WM,plough,182,830,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Akola,Akola,Vidharbha,Pickaxe,28,220,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Nanded,Nanded,Marathwada,pickaxe,25,90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Chandrapur,Bramhpuri,Vidharbha,tractor trolley,115,920,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Pune,Bhor,WM,tractor,480,5400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Parbhani,Sonpeth,Marathwada,pickaxe,42,140,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sindhudurg,Malvan,Konkan,plough,118,550,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Pune,Khed,WM,plough,200,1045,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Bhandara,Mohadi,Vidharbha,sickel,14,112,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nanded,Kandhar,Marathwada,plough,115,520,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Bhandara,Lakhandur,Vidharbha,tractor trolley,149,1192,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nashik,Trimbak,Marathwada,sickel,21,76,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Amravati,Morshi,Vidharbha,Tractor,295,2200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Amravati,Chandur,Vidharbha,Sprayer,47,375,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Malvan,Konkan,sprayer,42,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Wardha,Karanja,Vidharbha,pickaxe,26,180,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sangli,Atpadi,WM,hoe,49.9,257.5,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Latur,Renapur,Marathwada,plough,135,620,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Amravati,Achalpur,Vidharbha,Pickaxe,27,216,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Gadchiroli,Dhanora,Vidharbha,sprayer,,,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Osmanabad,Paranda,Marathwada,tractor trolley,315,2600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Raigad,Mahad,Konkan,tractor trolley,175,1320,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Gondia,Amgaon,Vidharbha,sprayer,38,304,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Dhule,Dhule,Khandesh,tractor,275,2020,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nandurbar,Akrani,Khandesh,hoe,20,80,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Hingoli,kalamnuri,Marathwada,tractor trolley,310,2580,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Sambhajinagar,Kannad,Marathwada,sickel,20,75,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nandurbar,Akrani,Khandesh,tractor trolley,95,720,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Wardha,Karanja,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gadchiroli,Chamorshi,Vidharbha,sickel,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Gadchiroli,Gadchiroli,Vidharbha,pickaxe,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Bhandara,Lakhandur,Vidharbha,sprayer,37,296,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Gadchiroli,Gadchiroli,Vidharbha,sprayer,,,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Amravati,Warud,Vidharbha,Sickel,27,216,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Amravati,Chandur,Vidharbha,Pickaxe,29,230,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalna,Jafrabad,Marathwada,plough,110,500,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sambhajinagar,Paithan,Marathwada,sprayer,47,148,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Devgad,Konkan,sickel,18,66,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Wardha,Samudrapur,Vidharbha,sprayer,72,500,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Hingoli,Hingoli,Marathwada,sickel,31,106,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Osmanabad,Umarga,Marathwada,plough,200,1050,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Pune,Ambegoan,WM,sickel,33,110,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Sambhajinagar,Sillod,Marathwada,plough,136,632,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Ahmednagar,Kopargaon,Khandesh,plough,210,1070,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sangli,Miraj,WM,hoe,49.75,257.25,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Gadchiroli,Dhanora,Vidharbha,pickaxe,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
